Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
3,12,10,33,100,0.8456,0.8456,0.6316,0.6579,2.12,68.30
3,12,10,34,100,0.8461,0.8456,0.6404,0.6579,2.11,70.40
3,12,10,35,100,0.8363,0.8363,0.6404,0.6579,2.00,72.40
3,12,10,36,100,0.7942,0.7942,0.6404,0.6579,2.11,74.51
3,12,10,37,100,0.9109,0.7942,0.6404,0.6579,2.04,76.55
3,12,10,38,100,0.9087,0.7942,0.6404,0.6579,2.10,78.65
3,12,10,39,100,0.9789,0.7942,0.6404,0.6579,2.06,80.72
3,12,10,40,100,0.9272,0.7942,0.6404,0.6579,2.09,82.81
3,12,10,41,100,0.9213,0.7942,0.6404,0.6579,2.11,84.91
3,12,10,42,100,0.8063,0.7942,0.6404,0.6579,2.11,87.02
3,12,10,43,100,0.7116,0.7116,0.6404,0.6579,2.10,89.13
3,12,10,44,100,0.7834,0.7116,0.6491,0.6579,2.08,91.21
3,12,10,45,100,1.0245,0.7116,0.6579,0.6579,2.10,93.30
3,12,10,46,100,0.7897,0.7116,0.6579,0.6579,2.13,95.43
3,12,10,47,100,0.7482,0.7116,0.6579,0.6579,2.04,97.48
3,12,10,48,100,0.9333,0.7116,0.6579,0.6579,2.13,99.61
3,12,10,49,100,0.8768,0.7116,0.6579,0.6579,2.03,101.64
3,12,10,50,100,1.0082,0.7116,0.6579,0.6579,2.11,103.75
3,12,10,51,100,0.7241,0.7116,0.6579,0.6579,2.09,105.84
3,12,10,52,100,0.9236,0.7116,0.6579,0.6579,2.13,107.96
3,12,10,53,100,0.8345,0.7116,0.6579,0.6579,2.15,110.12
3,12,10,54,100,0.8393,0.7116,0.6579,0.6579,2.12,112.23
3,12,10,55,100,0.8860,0.7116,0.6579,0.6579,2.12,114.35
3,12,10,56,100,0.9477,0.7116,0.6579,0.6579,2.10,116.45
3,12,10,57,100,0.9164,0.7116,0.6579,0.6579,2.14,118.59
3,12,10,58,100,0.7742,0.7116,0.6579,0.6579,2.15,120.74
3,12,10,59,100,0.7373,0.7116,0.6667,0.6667,2.08,122.82
3,12,10,60,100,0.9046,0.7116,0.6754,0.6754,2.22,125.04
3,12,10,61,100,0.7422,0.7116,0.6579,0.6754,2.08,127.12
3,12,10,62,100,0.5784,0.5784,0.6667,0.6754,2.14,129.26
3,12,10,63,100,0.8304,0.5784,0.6754,0.6754,2.13,131.39
3,12,10,64,100,0.7565,0.5784,0.6754,0.6754,2.13,133.52
3,12,10,65,100,0.7274,0.5784,0.6667,0.6754,2.14,135.66
3,12,10,66,100,0.6400,0.5784,0.6667,0.6754,2.16,137.82
3,12,10,67,100,1.1288,0.5784,0.6667,0.6754,2.16,139.97
3,12,10,68,100,0.8289,0.5784,0.6579,0.6754,2.12,142.10
3,12,10,69,100,0.6423,0.5784,0.6667,0.6754,2.14,144.24
