Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
6,6,8,90,100,0.0487,0.0412,0.9386,0.9649,0.27,24.96
6,6,8,91,100,0.0511,0.0412,0.9561,0.9649,0.27,25.22
6,6,8,92,100,0.0587,0.0412,0.9474,0.9649,0.27,25.49
6,6,8,93,100,0.0796,0.0412,0.9561,0.9649,0.27,25.76
6,6,8,94,100,0.0681,0.0412,0.9474,0.9649,0.27,26.04
6,6,8,95,100,0.0615,0.0412,0.9211,0.9649,0.27,26.31
6,6,8,96,100,0.0473,0.0412,0.9386,0.9649,0.27,26.58
6,6,8,97,100,0.0586,0.0412,0.9561,0.9649,0.27,26.85
6,6,8,98,100,0.0991,0.0412,0.9298,0.9649,0.28,27.13
6,6,8,99,100,0.1045,0.0412,0.9386,0.9649,0.28,27.40
6,6,8,100,100,0.0782,0.0412,0.9211,0.9649,0.27,27.67
=================================================================================
6,6,8,1,100,0.5917,0.5917,0.9298,0.9298,0.31,0.31
6,6,8,2,100,0.2559,0.2559,0.9649,0.9649,0.33,0.64
6,6,8,3,100,0.1159,0.1159,0.9474,0.9649,0.32,0.96
6,6,8,4,100,0.1052,0.1052,0.9474,0.9649,0.33,1.29
6,6,8,5,100,0.0930,0.0930,0.9561,0.9649,0.32,1.61
6,6,8,6,100,0.0687,0.0687,0.9561,0.9649,0.30,1.90
6,6,8,7,100,0.0733,0.0687,0.9474,0.9649,0.28,2.19
6,6,8,8,100,0.0749,0.0687,0.9561,0.9649,0.28,2.47
6,6,8,9,100,0.0632,0.0632,0.9737,0.9737,0.28,2.75
6,6,8,10,100,0.0912,0.0632,0.9649,0.9737,0.28,3.03
6,6,8,11,100,0.0741,0.0632,0.9561,0.9737,0.29,3.32
6,6,8,12,100,0.0693,0.0632,0.9561,0.9737,0.32,3.64
6,6,8,13,100,0.0671,0.0632,0.9561,0.9737,0.30,3.94
6,6,8,14,100,0.0587,0.0587,0.9474,0.9737,0.30,4.24
6,6,8,15,100,0.0669,0.0587,0.9737,0.9737,0.28,4.52
6,6,8,16,100,0.0778,0.0587,0.9474,0.9737,0.29,4.81
6,6,8,17,100,0.0667,0.0587,0.9561,0.9737,0.31,5.12
6,6,8,18,100,0.0604,0.0587,0.9474,0.9737,0.30,5.42
6,6,8,19,100,0.0721,0.0587,0.9474,0.9737,0.29,5.71
6,6,8,20,100,0.0588,0.0587,0.9561,0.9737,0.29,5.99
6,6,8,21,100,0.0651,0.0587,0.9561,0.9737,0.28,6.27
6,6,8,22,100,0.0647,0.0587,0.9561,0.9737,0.29,6.56
6,6,8,23,100,0.0639,0.0587,0.9649,0.9737,0.27,6.83
6,6,8,24,100,0.0680,0.0587,0.9649,0.9737,0.27,7.11
6,6,8,25,100,0.0649,0.0587,0.9649,0.9737,0.28,7.38
6,6,8,26,100,0.0734,0.0587,0.9737,0.9737,0.28,7.66
6,6,8,27,100,0.0672,0.0587,0.9737,0.9737,0.28,7.93
6,6,8,28,100,0.0686,0.0587,0.9474,0.9737,0.28,8.21
6,6,8,29,100,0.0637,0.0587,0.8772,0.9737,0.28,8.49
6,6,8,30,100,0.0686,0.0587,0.9474,0.9737,0.28,8.77
6,6,8,31,100,0.0677,0.0587,0.9386,0.9737,0.28,9.04
6,6,8,32,100,0.0790,0.0587,0.9474,0.9737,0.28,9.32
6,6,8,33,100,0.0615,0.0587,0.9474,0.9737,0.28,9.60
6,6,8,34,100,0.0582,0.0582,0.8947,0.9737,0.28,9.88
6,6,8,35,100,0.0509,0.0509,0.9386,0.9737,0.30,10.18
6,6,8,36,100,0.0579,0.0509,0.9561,0.9737,0.29,10.47
6,6,8,37,100,0.0700,0.0509,0.9474,0.9737,0.30,10.77
6,6,8,38,100,0.0615,0.0509,0.9561,0.9737,0.29,11.06
6,6,8,39,100,0.0621,0.0509,0.9474,0.9737,0.28,11.33
6,6,8,40,100,0.0678,0.0509,0.9386,0.9737,0.28,11.61
6,6,8,41,100,0.0520,0.0509,0.9474,0.9737,0.28,11.88
6,6,8,42,100,0.0544,0.0509,0.9386,0.9737,0.28,12.16
6,6,8,43,100,0.0496,0.0496,0.9211,0.9737,0.29,12.46
6,6,8,44,100,0.0444,0.0444,0.9474,0.9737,0.29,12.75
6,6,8,45,100,0.0467,0.0444,0.9298,0.9737,0.28,13.03
6,6,8,46,100,0.0428,0.0428,0.9386,0.9737,0.28,13.31
6,6,8,47,100,0.0471,0.0428,0.9386,0.9737,0.28,13.59
6,6,8,48,100,0.0426,0.0426,0.9211,0.9737,0.27,13.86
6,6,8,49,100,0.0478,0.0426,0.9211,0.9737,0.27,14.13
6,6,8,50,100,0.0451,0.0426,0.9386,0.9737,0.27,14.41
6,6,8,51,100,0.0474,0.0426,0.9298,0.9737,0.27,14.68
6,6,8,52,100,0.0413,0.0413,0.9474,0.9737,0.28,14.96
6,6,8,53,100,0.0412,0.0412,0.9298,0.9737,0.29,15.25
6,6,8,54,100,0.0420,0.0412,0.9298,0.9737,0.28,15.53
6,6,8,55,100,0.0468,0.0412,0.9123,0.9737,0.28,15.80
6,6,8,56,100,0.0502,0.0412,0.9211,0.9737,0.28,16.08
6,6,8,57,100,0.0480,0.0412,0.9386,0.9737,0.27,16.35
6,6,8,58,100,0.0459,0.0412,0.9211,0.9737,0.27,16.63
6,6,8,59,100,0.0471,0.0412,0.9298,0.9737,0.27,16.90
